日期,識別碼,植物編號,植物名稱,形相代號,節氣,候別,果實分數,花的分數,葉子分數
2022/6/19,38,32,毛瓣蝴蝶木,2,芒種,第3候,3,1,1
2022/6/19,40,33,狗花椒,1,芒種,第3候,2.5,1,1
2022/6/19,41,34,狗花椒,1,芒種,第3候,2.5,2,1
2022/6/19,42,35,羊角藤,3,芒種,第3候,2.5,2,1
2022/6/26,1,0,緬梔,1,夏至,第2候,2.5,3,1
2022/6/26,2,1,小梗木薑子,1,夏至,第2候,2.5,1,1
2022/6/26,3,2,相思樹,1,夏至,第2候,2.5,1,1
2022/6/26,4,3,降真香,1,夏至,第2候,2.5,3,1
2022/6/26,5,4,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/6/26,6,5,血桐,1,夏至,第2候,2.5,1,3
2022/6/26,7,6,灰木,2,夏至,第2候,2.5,1,2
2022/6/26,8,7,狗骨仔,1,夏至,第2候,2.5,1,1
2022/6/26,9,8,狗骨仔,2,夏至,第2候,2.5,1,2
2022/6/26,10,9,紅脈赤楠,1,夏至,第2候,2.5,1,1
2022/6/26,11,10,台灣山桂花,2,夏至,第2候,2.5,1,3
2022/6/26,12,11,細葉饅頭果,1,夏至,第2候,2.5,1,1
2022/6/26,13,12,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/6/26,14,13,相思樹,1,夏至,第2候,2.5,2,2
2022/6/26,15,14,血桐,1,夏至,第2候,2.5,1,1
2022/6/26,17,15,萬桃花,1,夏至,第2候,2.5,3,3
2022/6/26,18,16,山油麻,1,夏至,第2候,2.5,3,3
2022/6/26,19,17,構樹,1,夏至,第2候,2.5,1,3
2022/6/26,21,19,白匏子,1,夏至,第2候,2.5,1,1
2022/6/26,23,20,白匏子,1,夏至,第2候,2.5,2,1
2022/6/26,24,21,苦楝,1,夏至,第2候,2.5,1,2
2022/6/26,26,22,狗骨仔,2,夏至,第2候,2.5,2,1
2022/6/26,27,23,降真香,1,夏至,第2候,2.5,3,1
2022/6/26,28,24,小錦蘭,3,夏至,第2候,2.5,1,1
2022/6/26,29,25,雙面刺,3,夏至,第2候,3,1,3
2022/6/26,31,26,大青,2,夏至,第2候,2.5,2,1
2022/6/26,33,27,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/6/26,34,28,球花嘉賜木,1,夏至,第2候,2.5,1,1
2022/6/26,35,29,台灣野茉莉,2,夏至,第2候,2.5,1,3
2022/6/26,36,30,對面花,2,夏至,第2候,2,1,1
2022/6/26,37,31,狗花椒,1,夏至,第2候,2.5,2,1
2022/6/26,38,32,毛瓣蝴蝶木,2,夏至,第2候,2.5,1,1
2022/6/26,40,33,狗花椒,1,夏至,第2候,2.5,1,1
2022/6/26,41,34,狗花椒,1,夏至,第2候,2.5,2,1
2022/6/26,42,35,羊角藤,3,夏至,第2候,2.5,2,1
2022/7/10,1,0,緬梔,1,小暑,第1候,2.5,3,1
2022/7/10,2,1,小梗木薑子,1,小暑,第1候,2.5,1,1
2022/7/10,3,2,相思樹,1,小暑,第1候,2.5,1,1
2022/7/10,4,3,降真香,1,小暑,第1候,2.5,3,2
2022/7/10,5,4,球花嘉賜木,1,小暑,第1候,2.5,1,1
2022/7/10,6,5,血桐,1,小暑,第1候,2.5,1,2
2022/7/10,7,6,灰木,2,小暑,第1候,2.5,1,2
2022/7/10,8,7,狗骨仔,1,小暑,第1候,2.5,1,1
2022/7/10,9,8,狗骨仔,2,小暑,第1候,2.5,1,2
2022/7/10,10,9,紅脈赤楠,1,小暑,第1候,2.5,1,1
2022/7/10,11,10,台灣山桂花,2,小暑,第1候,2.5,1,3
2022/7/10,12,11,細葉饅頭果,1,小暑,第1候,2.5,1,1
2022/7/10,13,12,球花嘉賜木,1,小暑,第1候,2.5,1,1
2022/7/10,14,13,相思樹,1,小暑,第1候,2.5,2,1
2022/7/10,15,14,血桐,1,小暑,第1候,2.5,2,1
2022/7/10,17,15,萬桃花,1,小暑,第1候,2.5,3,3
2022/7/10,18,16,山油麻,1,小暑,第1候,2.5,3,3
